IntroductionTitle,Welcome to LAMP!,Welcome to LAMP!
IntroductionDescription,Check out our new and improved features.,Check out our new and improved features.
IntroSearchTitle,Search LAMP,Search LAMP
IntroSearchDescription,"Assets, contracts, tickets and more.","Assets, contracts, tickets and more."
IntroLookupTitle,LAMP Lookup,LAMP Lookup
IntroLookupDescription,Information on your Cisco serial numbers.,Information on your Cisco serial numbers.
IntroScanTitle,LAMP Scan,LAMP Scan
IntroScanDescription,On and offline barcode scanning.,On and offline barcode scanning.
IntroNotificationsTitle,Notifications,Notifications
IntroNotificationsDescription,Order status updates and more.,Order status updates and more.
IntroAccountTitle,,
IntroAccountDescription,,
IntroButtonLabel,Continue,Continue
LoginUsernameHint,Username,Username
LoginPasswordHint,Password,Password
LoginRememberMeLabel,Remember Me,Remember Me
LoginButtonLabel,Continue,Login
ForgotPasswordLabel,Forgot Password,Forgot Password
UseGuestLabel,Use as Guest,Use as Guest
ForgotPasswordTitle,Reset Password,Forgot Password
ForgotPasswordDescription,Please provide your username. Your password will be reset,Please provide the account information.
ForgotUsernameHint,Username,Username
ForgotSubmitLabel,Submit,Submit
GuestTitle,Use as Guest,Use as Guest
GuestDescription,Please provide your email address to use the app.,Please provide your email address to use the app.
GuestEmailHint,Email,Email
GuestSumbitLabel,Continue,Continue
DashboardTitle,LAMP Home,LAMP Home
SystemMessageTitle,SYSTEM MESSAGE:,SYSTEM MESSAGE:
DashboardSearchTitle,Search LAMP,Search LAMP
DashboardSearchDescription,"Detailed information on your assets, contracts and tickets.","Detailed information on your assets, contracts and tickets."
DashboardLookupTitle,LAMP Lookup,LAMP Lookup
DashboardLookupDescription,Information on your Cisco serial numbers.,Information on your Cisco serial numbers.
DashboardScanTitle,LAMP Scan,LAMP Scan
DashboardScanDescription,Online and offline asset barcode scanning.,Online and offline asset barcode scanning.
DashboardNotificationsTitle,Notifications,Notifications
DashboardNotificationsDescription,Order status updates and more.,Order status updates and more.
SearchTitle,Search LAMP,Search LAMP
SearchAllFilter,All,All
SearchDescription,"Search LAMP using text, voice, scanner, or built in camera.","Search LAMP using text, voice, scanner, or built in camera."
SearchEmptyResult,No records found for your search criteria,No records found for your search criteria
LookupTitle,LAMP Lookup,LAMP Lookup
